2.614130435,2.0625,1.919565217,1.22173913,1.046467391,1.010326087,0.792663043,0.876086957,0.725815217,0.521195652,0.340217391,0.444293478
2.0625,2.571428571,2.0125,1.461607143,1.307142857,1.159821429,0.83125,0.969642857,0.88125,0.755357143,0.5125,0.632142857
1.919565217,2.0125,2.422282609,1.285869565,1.332608696,1.236413043,0.599456522,0.619293478,0.972282609,0.829347826,0.613858696,0.719021739
1.22173913,1.461607143,1.285869565,2.754736025,1.377600932,1.173990683,0.345923913,0.487111801,1.373369565,1.155822981,0.700815217,0.763198758
1.046467391,1.307142857,1.332608696,1.377600932,2.481909938,2.030900621,0.025271739,0.210442547,1.738858696,1.605861801,1.171195652,1.282453416
1.010326087,1.159821429,1.236413043,1.173990683,2.030900621,2.215993789,0.047282609,0.233074534,1.661413043,1.535131988,1.200543478,1.306715839
0.792663043,0.83125,0.599456522,0.345923913,0.025271739,0.047282609,1.479891304,1.157608696,0.086956522,0.017119565,-0.249728261,-0.214945652
0.876086957,0.969642857,0.619293478,0.487111801,0.210442547,0.233074534,1.157608696,1.81560559,0.063043478,0.090916149,-0.087771739,-0.024340062
0.725815217,0.88125,0.972282609,1.373369565,1.738858696,1.661413043,0.086956522,0.063043478,2.434782609,2.148097826,1.220108696,1.325271739
0.521195652,0.755357143,0.829347826,1.155822981,1.605861801,1.535131988,0.017119565,0.090916149,2.148097826,2.611257764,1.366576087,1.477600932
0.340217391,0.5125,0.613858696,0.700815217,1.171195652,1.200543478,-0.249728261,-0.087771739,1.220108696,1.366576087,1.708695652,1.74048913
0.444293478,0.632142857,0.719021739,0.763198758,1.282453416,1.306715839,-0.214945652,-0.024340062,1.325271739,1.477600932,1.74048913,1.902562112
