year,month,day,times
2017,10,1,55
2017,10,8,58
2017,10,15,50
2017,10,22,49
2017,10,29,60
2017,11,5,54
2017,11,12,51
2017,11,19,55
2017,11,26,49
2017,12,3,50
2017,12,10,49
2017,12,17,49
2017,12,24,57
2017,12,31,72
2018,1,7,61
2018,1,14,63
2018,1,21,62
2018,1,28,59
2018,2,4,63
2018,2,11,58
2018,2,18,53
2018,2,25,53
2018,3,4,54
2018,3,11,50
2018,3,18,52
2018,3,25,47
2018,4,1,49
2018,4,8,45
2018,4,15,48
2018,4,22,52
2018,4,29,77
2018,5,6,48
2018,5,13,44
2018,5,20,45
2018,5,27,46
2018,6,3,47
2018,6,10,45
2018,6,17,45
2018,6,24,44
2018,7,1,43
2018,7,8,51
2018,7,15,50
2018,7,22,49
2018,7,29,53
2018,8,5,59
2018,8,12,69
2018,8,19,57
2018,8,26,54
2018,9,2,53
2018,9,9,56
2018,9,16,57
2018,9,23,52
2018,9,30,50
2018,10,7,58
2018,10,14,54
2018,10,21,54
2018,10,28,53
2018,11,4,54
2018,11,11,57
2018,11,18,60
2018,11,25,52
2018,12,2,47
2018,12,9,52
2018,12,16,51
2018,12,23,59
2018,12,30,74
2019,1,6,61
2019,1,13,67
2019,1,20,58
2019,1,27,62
2019,2,3,64
2019,2,10,66
2019,2,17,63
2019,2,24,60
2019,3,3,60
2019,3,10,59
2019,3,17,59
2019,3,24,58
2019,3,31,51
2019,4,7,52
2019,4,14,53
2019,4,21,58
2019,4,28,100
2019,5,5,53
2019,5,12,49
2019,5,19,46
2019,5,26,47
2019,6,2,48
2019,6,9,49
2019,6,16,48
2019,6,23,47
2019,6,30,48
2019,7,7,53
2019,7,14,53
2019,7,21,49
2019,7,28,56
2019,8,4,60
2019,8,11,74
2019,8,18,58
2019,8,25,60
2019,9,1,58
2019,9,8,55
2019,9,15,60
2019,9,22,55
2019,9,29,52
2019,10,6,50
2019,10,13,56
2019,10,20,57
2019,10,27,63
2019,11,3,64
2019,11,10,58
2019,11,17,56
2019,11,24,56
2019,12,1,56
2019,12,8,52
2019,12,15,51
2019,12,22,58
2019,12,29,83
2020,1,5,62
2020,1,12,68
2020,1,19,61
2020,1,26,59
2020,2,2,62
2020,2,9,67
2020,2,16,61
2020,2,23,58
2020,3,1,50
2020,3,8,51
2020,3,15,58
2020,3,22,44
2020,3,29,32
2020,4,5,27
2020,4,12,27
2020,4,19,25
2020,4,26,25
2020,5,3,28
2020,5,10,28
2020,5,17,30
2020,5,24,33
2020,5,31,33
2020,6,7,37
2020,6,14,41
2020,6,21,45
2020,6,28,47
2020,7,5,45
2020,7,12,42
2020,7,19,52
2020,7,26,42
2020,8,2,46
2020,8,9,59
2020,8,16,45
2020,8,23,47
2020,8,30,48
2020,9,6,54
2020,9,13,64
2020,9,20,71
2020,9,27,60
2020,10,4,68
2020,10,11,66
2020,10,18,65
2020,10,25,65
2020,11,1,67
2020,11,8,57
2020,11,15,54
2020,11,22,50
2020,11,29,45
2020,12,6,46
2020,12,13,52
2020,12,20,39
2020,12,27,49
2021,1,3,41
2021,1,10,38
2021,1,17,34
2021,1,24,36
2021,1,31,42
2021,2,7,48
2021,2,14,43
2021,2,21,46
2021,2,28,44
2021,3,7,50
2021,3,14,46
2021,3,21,45
2021,3,28,40
2021,4,4,42
2021,4,11,40
2021,4,18,41
2021,4,25,45
2021,5,2,48
2021,5,9,31
2021,5,16,32
2021,5,23,33
2021,5,30,35
2021,6,6,36
2021,6,13,37
2021,6,20,43
2021,6,27,40
2021,7,4,44
2021,7,11,47
2021,7,18,52
2021,7,25,41
2021,8,1,45
2021,8,8,53
2021,8,15,42
2021,8,22,38
2021,8,29,38
2021,9,5,41
2021,9,12,43
2021,9,19,49
2021,9,26,48
2021,10,3,51
2021,10,10,54
2021,10,17,56
2021,10,24,56
2021,10,31,61
2021,11,7,58
2021,11,14,59
2021,11,21,61
2021,11,28,55
2021,12,5,55
2021,12,12,52
2021,12,19,48
2021,12,26,68
2022,1,2,66
2022,1,9,55
2022,1,16,47
2022,1,23,45
2022,1,30,46
2022,2,6,50
2022,2,13,51
2022,2,20,58
2022,2,27,54
2022,3,6,52
2022,3,13,55
2022,3,20,60
2022,3,27,51
2022,4,3,52
2022,4,10,51
2022,4,17,54
2022,4,24,61
2022,5,1,75
2022,5,8,50
2022,5,15,50
2022,5,22,49
2022,5,29,53
2022,6,5,51
2022,6,12,49
2022,6,19,50
2022,6,26,49
2022,7,3,47
2022,7,10,49
2022,7,17,52
2022,7,24,55
2022,7,31,53
2022,8,7,64
2022,8,14,64
2022,8,21,58
2022,8,28,58
2022,9,4,64
2022,9,11,59
2022,9,18,62
